amazon,Amazon,"Amazon is investing $7.2bn in data centers in israel via AWS[^1]
Don't spend money on amazon products including AWS
Do not work for Amazon
Do not buy Kindle books and other content from Amazon
Cancel your Amazon prime membership
[^1]: https://www.reuters.com/technology/amazon-invest-72-bln-israel-launches-aws-cloud-region-2023-08-01/",avoid,operations_in_israel,global,technology,,https://1000logos.net/wp-content/uploads/2016/10/Amazon-logo-meaning.jpg,,eBay (unverified),
amdocs,Amdocs,"Amdocs is an Israeli tech company[^1]
Don't buy Amdocs products/services
Don't sell Amdocs products/services
Don't work for Amdocs
[^1]: https://buyisraelitech.com/database/amdocs",avoid,operations_in_israel,global,"technology, development",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/23b0aaec-90b3-4c23-a40b-3b10eb81ebca/amdocs/w=450,,,
americaneagle,American Eagle,"American Eagle posted an image of the Israeli Flag on their flagship billboard in Times Square showing their support for the apartheid state.[^1]
Don't buy products from American Eagle Outfitters.
Don't work for American Eagle Outfitters.
[^1]: https://www.linkedin.com/posts/craig-brommers-616b1b1_our-updated-american-eagle-times-square-flagship-activity-7116923792202833920-jt6L?utm_source=share&utm_medium=member_desktop",avoid,operations_in_israel,global,"clothing, fashion",,https://logowik.com/content/uploads/images/american-eagle-outfitters7114.jpg,,Buy non designer products,
amika,Amika,"Manufactured on occupied Palestinian land.[^1]
Don't buy Amika products
Don't sell Amika products
[^1]: https://heatmakessense.zendesk.com/hc/en-us/articles/4406612273563-Where-are-amika-products-made-",avoid,operations_in_israel,global,"cosmetics, healthcare",,https://www.loveamika.co.uk/c-images/fb-image.png,,"Supermarket own brand products
Lush cosmetics",
anima,Anima,"Anima is an Israeli tech company[^1]
Don't buy Anima products/services
Don't sell Anima products/services
Don't work for Anima
[^1]: https://buyisraelitech.com/database/anima",avoid,operations_in_israel,global,"technology, productivity",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/217a9184-b333-4c8e-9ec4-232d09c79faa/anima/w=450,,,
apiiro,Apiiro,"Apiiro is an Israeli tech company[^1]
Don't buy Apiiro products/services
Don't sell Apiiro products/services
Don't work for Apiiro
[^1]: https://buyisraelitech.com/database/apiiro",avoid,operations_in_israel,global,"technology, security",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/b63b8e87-5b99-4032-b885-a030a0e263bf/7509eead3518f9b45d72237c5d0bf6bab033ee25-1340x894/w=450,,,
appsflyer,Appsflyer,"Appsflyer is an Israeli tech company[^1]
Don't buy Appsflyer products/services
Don't sell Appsflyer products/services
Don't work for Appsflyer
[^1]: https://buyisraelitech.com/database/appsflyer",avoid,operations_in_israel,global,"technology, marketing",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/01efbefa-9768-4a34-a64c-5dca33783a97/AFLogo_primary/w=450,,,
appwrite,Appwrite,"Appwrite is an Israeli tech company[^1]
Don't buy Appwrite products/services
Don't sell Appwrite products/services
Don't work for Appwrite
[^1]: https://buyisraelitech.com/database/appwrite",avoid,operations_in_israel,global,"technology, cloud",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/69b88bc6-5241-4dcb-a12c-a8c5f8624a67/appwriteio-ar21/w=450,,,
aptamil,Aptamil,"The owner of Aptamil, Danone, invests millions into the israeli food start up scene.[^1]
Don't buy Aptamil products.
Don't sell Aptamil products.
Don't work for Aptamil.
[^1]: https://www.timesofisrael.com/french-dairy-giant-danone-leads-3-5m-investment-into-israeli-cultured-milk-startup/",avoid,operations_in_israel,global,"food, drinks",,https://m.media-amazon.com/images/S/gladiator-image-upload-prod/1/A1F83G8C2ARO7P/3bab32d28f3163d50886787666d98b3b.png,,Supermarket own brand products,
aquafina,Aquafina,"The owner of Aquafina, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.[^1]
Don't buy Aquafina products.
Don't sell Aquafina products
Don't work for the PepsiCo Company
[^1]: https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall",avoid,operations_in_israel,global,drinks,,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/072017/untitled-4_4.png,,"Supermarket own brand products, eg. Morrisons
Saka water (from Turkiye)",
